LATITUDE,LONGITUDE,X,Y,Z,PRIORITY,REGION,DIVISION_ID,TREE_COMMENTS,ROLE_TYPE,INSPECTOR_COMPANY,INSPECT_DATE,CUSTOMER_NOTIFICATION_ID,ALERT_ID,TRIM_CODE,INSPECT_WO_NUMBER,TRIM_WO_NUMBER,SPAN_NBR,TREEID,LINE_NAME,LINE_NBR,TREE_TYPE,STREET_NUM,STREET,CITY_ID,COUNTY_ID,DISPATCHR_ID
38.60709498179912,-121.48410177434923,-121.48410177434923,38.60709498179912,,N,SA,SA,,PI,ACR,2016-02-10T21:11:30.742Z,N,,,569fc769725255882d4bfe50,,135,E121484101N38607094,DEEPWATER_1_TAP,10350A,OAKV,,,,,569fc769725255882d4bfe48
38.60710376479958,-121.48403304986874,-121.48403304986874,38.60710376479958,,N,SA,SA,,PI,ACR,2016-02-10T21:11:45.347Z,N,,,569fc769725255882d4bfe50,,135,E121484033N38607103,DEEPWATER_1_TAP,10350A,UNKN,,,,,569fc769725255882d4bfe4a
38.60728910049649,-121.4841591616268,-121.4841591616268,38.60728910049649,,N,SA,SA,,PI,ACR,2016-02-10T21:12:23.616Z,N,,,569fc769725255882d4bfe50,,135,E121484159N38607289,DEEPWATER_1_TAP,10350A,UNKN,,,,,569fc769725255882d4bfe4c
38.607082597675664,-121.48392919670069,-121.48392919670069,38.607082597675664,,N,SA,SA,,PI,ACR,2016-02-10T21:13:17.864Z,N,,,569fc76a725255882d4bfe6b,,135,E121483929N38607082,DEEPWATER_1_TAP,10350A,OAKV,,,,,569fc76a725255882d4bfe5d
38.6071529911999,-121.48369859337758,-121.48369859337758,38.6071529911999,,N,SA,SA,,PI,ACR,2016-02-10T21:13:34.376Z,N,,,569fc76a725255882d4bfe6b,,135,E121483698N38607152,DEEPWATER_1_TAP,10350A,UNKN,,,,,569fc76a725255882d4bfe5f
38.607097373160585,-121.48397304392279,-121.48397304392279,38.607097373160585,,N,SA,SA,,PI,ACR,2016-02-10T21:14:02.466Z,N,,,569fc76a725255882d4bfe6b,,135,E121483973N38607097,DEEPWATER_1_TAP,10350A,UNKN,,,,,569fc76a725255882d4bfe61
38.60714734896609,-121.48366486403145,-121.48366486403145,38.60714734896609,,N,SA,SA,,PI,ACR,2016-02-10T21:14:19.646Z,N,,,569fc76a725255882d4bfe6b,,135,E121483664N38607147,DEEPWATER_1_TAP,10350A,UNKN,,,,,569fc76a725255882d4bfe63
38.60705796200697,-121.4837804708007,-121.4837804708007,38.60705796200697,,N,SA,SA,,PI,ACR,2016-02-10T21:15:33.750Z,N,,,569fc76a725255882d4bfe6b,,135,E121483780N38607057,DEEPWATER_1_TAP,10350A,UNKN,,,,,569fc76a725255882d4bfe65
38.60728443185577,-121.48382002085403,-121.48382002085403,38.60728443185577,,N,SA,SA,,PI,ACR,2016-02-10T21:15:59.002Z,N,,,569fc76a725255882d4bfe6b,,135,E121483820N38607284,DEEPWATER_1_TAP,10350A,UNKN,,,,,569fc76a725255882d4bfe67
38.60721097015365,-121.48383056096048,-121.48383056096048,38.60721097015365,,N,SA,SA,,PI,ACR,2016-02-10T21:16:20.809Z,N,,,569fc76a725255882d4bfe6b,,135,E121483830N38607210,DEEPWATER_1_TAP,10350A,UNKN,,,,,569fc76a725255882d4bfe69
38.607132368950126,-121.48321202734544,-121.48321202734544,38.607132368950126,,N,SA,SA,,PI,ACR,2016-02-10T21:17:21.943Z,N,,,569fc76a725255882d4bfe7a,,135,E121483212N38607132,DEEPWATER_1_TAP,10350A,UNKN,,,,,569fc76a725255882d4bfe74
